x,y,U,V,uu,vv,uv
0.15,0.0097319,0.00040959,-0.00010538,6.4091e-05,4.2712e-06,-2.5951e-06
0.15,0.015192,0.00040854,-0.00015344,7.1666e-05,1.3061e-05,-5.1911e-06
0.15,0.021852,0.00045514,-0.00023807,8.7983e-05,3.414e-05,-1.0685e-05
0.15,0.029704,0.0004757,-0.00038313,0.0001513,8.8632e-05,-2.2966e-05
0.15,0.038738,0.00063428,-0.00057564,0.0014822,0.00026322,-5.7861e-05
0.15,0.048943,-0.0056667,-0.0054275,0.020877,0.0017348,0.0012652
0.15,0.060307,0.15899,0.011352,0.071576,0.006759,0.0080489
0.15,0.072816,0.49823,0.0019157,0.076779,0.011236,0.01418
0.15,0.086455,0.6866,-0.0061011,0.070679,0.016407,0.01705
0.15,0.10121,0.8217,-0.0029533,0.070075,0.019535,0.017333
0.15,0.11705,0.93039,-0.0052824,0.067886,0.020789,0.018057
0.15,0.13397,1.009,-0.0062454,0.066626,0.021743,0.017768
0.15,0.15195,1.0725,-0.0026436,0.065686,0.021415,0.016884
0.15,0.17096,1.1336,-0.0012372,0.065049,0.020969,0.016621
0.15,0.19098,1.1901,0.0018298,0.064105,0.020397,0.015096
0.15,0.21199,1.2489,0.0029869,0.062125,0.02055,0.013573
0.15,0.23396,1.2947,0.0028703,0.057864,0.020016,0.013609
0.15,0.25686,1.3351,-0.00078666,0.055615,0.019879,0.013555
0.15,0.28066,1.3734,-0.0041657,0.054082,0.019888,0.013349
0.15,0.30534,1.4059,-0.0035573,0.05413,0.019598,0.013311
0.15,0.33087,1.4413,-0.003491,0.052615,0.01897,0.012714
0.15,0.35721,1.4806,-0.00093547,0.050685,0.018153,0.012199
0.15,0.38434,1.5167,0.00071407,0.047821,0.017508,0.011324
0.15,0.41221,1.5487,0.0030085,0.046387,0.017646,0.011017
0.15,0.44081,1.585,0.004048,0.04335,0.017239,0.010495
0.15,0.47008,1.6142,0.0038882,0.040125,0.016692,0.01046
0.15,0.5,1.6439,0.0025484,0.036722,0.015671,0.0094372
0.15,0.53053,1.6755,0.0021569,0.033964,0.014893,0.0080786
0.15,0.56163,1.7073,-4.7832e-05,0.031498,0.014629,0.0076699
0.15,0.59326,1.739,-0.0018848,0.029595,0.013843,0.0074078
0.15,0.62539,1.7656,-0.0038474,0.029025,0.013004,0.0071556
