x,y,z,U,V,W,urms,vrms,wrms,uv,uw,vw
0.5,0.15195,-0.6,1.0562,-0.012154,-0.0076486,1.6527,0.85368,1.1329,1.2097,0.19026,-0.011718
0.5,0.23396,-0.6,1.2853,-0.0029269,-0.0026979,1.497,0.86646,1.0096,0.97687,0.067744,-0.026805
0.5,0.33087,-0.6,1.4403,-0.0029111,-0.0014724,1.3909,0.81122,0.8921,0.81932,0.10612,-0.026624
0.5,0.44081,-0.6,1.5746,-0.0040302,-0.0023456,1.2496,0.77709,0.84385,0.73696,0.095339,0.015158
0.5,0.56163,-0.6,1.6992,-0.0039301,-0.0035338,1.0869,0.72071,0.78434,0.59837,-0.024604,-0.012087
0.5,0.69098,-0.6,1.8199,0.0031877,-0.0090113,0.93777,0.64739,0.68339,0.41146,-0.022304,-0.0114
0.5,0.82635,-0.6,1.9152,0.0021557,-0.0044178,0.76276,0.56784,0.55665,0.22235,-0.041757,-0.012911
0.5,0.9651,-0.6,1.956,-0.00096081,-0.00045786,0.70987,0.52322,0.48887,0.076236,-0.0096953,0.014374
0.5,1.1045,-0.6,1.9483,0.0021509,-0.0012492,0.70521,0.54922,0.49666,-0.15783,-0.0187,-0.0055623
0.5,1.2419,-0.6,1.8735,-0.0021848,-0.004895,0.84109,0.59722,0.58624,-0.27655,-0.033555,0.006815
0.5,1.3746,-0.6,1.77,0.00096624,-0.0050542,1.008,0.68851,0.73404,-0.50399,0.027329,-0.040407
0.5,1.5,-0.6,1.6456,0.0021888,-0.0010344,1.1443,0.75109,0.83798,-0.676,-0.024848,-0.00072425
0.5,1.6157,-0.6,1.5087,0.0040046,-0.00063673,1.3119,0.80777,0.87658,-0.87249,0.10082,0.028014
0.5,1.7193,-0.6,1.3743,0.0033375,-0.0028633,1.415,0.82292,0.9575,-0.87405,0.11534,-0.015868
0.5,1.809,-0.6,1.1959,0.0052223,-0.0022397,1.5558,0.8867,1.063,-1.0959,0.11486,-0.051765
0.5,1.8829,-0.6,0.9117,0.023205,0.0035722,1.6659,0.90983,1.143,-1.3759,0.31934,-0.010997
0.5,1.9397,-0.6,0.44762,0.10511,0.066132,1.4875,0.92818,1.1469,-0.22391,0.8096,-0.47932
0.5,1.9781,-0.6,-0.00024334,0.00085687,-0.00031489,0.080056,0.14874,0.050727,-0.0030014,0.00051328,0.0021549
0.5,1.9976,-0.6,-5.692e-05,3.4976e-05,-0.00021985,0.052982,0.0065752,0.038883,-4.4874e-05,-7.6978e-05,-1.9803e-05
0.6,0,-0.6,2.5842e-15,5.1077e-19,3.0551e-17,2.1403e-13,8.0174e-16,1.0516e-14,3.0838e-31,-2.5632e-29,3.0818e-31
0.6,0.0097319,-0.6,0.0005895,0.00011608,-2.591e-05,0.05297,0.014287,0.039282,0.00019516,0.00032822,-6.3831e-05
0.6,0.038738,-0.6,0.0014955,0.00049396,0.00036824,0.2313,0.10189,0.097794,0.0010134,0.0015994,-0.003312
0.6,0.086455,-0.6,0.71622,-0.015326,0.030599,1.5879,0.80208,1.1614,0.70921,0.24067,-0.24893
0.6,0.15195,-0.6,1.0573,-0.021498,-0.0029065,1.5819,0.92387,1.1046,1.0226,0.27186,0.049461
0.6,0.23396,-0.6,1.2845,-0.0085756,-0.0035811,1.5067,0.86537,1.0265,1.0131,0.073801,-0.013321
0.6,0.33087,-0.6,1.4475,-0.0014126,-0.0093104,1.3574,0.82184,0.92195,0.82746,0.015286,0.018247
0.6,0.44081,-0.6,1.5775,-0.0011121,-0.0055658,1.236,0.76217,0.89492,0.70049,0.081205,0.079591
0.6,0.56163,-0.6,1.6998,-0.0046542,0.0029456,1.0759,0.72757,0.80409,0.5635,-0.028912,-0.0029782
0.6,0.69098,-0.6,1.8237,0.001745,-0.0052501,0.91585,0.6513,0.66998,0.38905,0.0082759,-0.012712
0.6,0.82635,-0.6,1.9133,0.0010441,-0.0041923,0.79081,0.5487,0.55338,0.2227,-0.027122,0.0012785
0.6,0.9651,-0.6,1.9536,8.4957e-05,0.00047043,0.70247,0.51635,0.47763,0.069813,-0.027179,0.0032387
0.6,1.1045,-0.6,1.944,0.00011267,-0.0040578,0.70164,0.53211,0.49181,-0.13591,-0.015183,-0.0086599
0.6,1.2419,-0.6,1.8749,-0.0012296,-0.0057606,0.83877,0.5818,0.60475,-0.29082,0.0044141,-0.020274
