x,y,c,U,V,urms,vrms,uv
1.2,0.009731931,0,-0.0001921798,-0.0001574193,0.08348778,0.05750277,4.072245e-05
1.2,0.0387383,0,0.2109118,0.01921684,1.448893,0.5463624,-0.6842045
1.2,0.08645454,0,0.7245331,0.02474971,1.553583,0.8715257,-1.218974
1.2,0.1519519,0,1.070874,0.01594868,1.551999,0.8835198,-1.029015
1.2,0.2339556,0,1.270171,0.0006019682,1.474138,0.8559098,-0.9428302
1.2,0.3308694,0,1.436147,-0.008037462,1.369393,0.8497799,-0.8054942
1.2,0.4408071,0,1.567599,-0.008363321,1.298327,0.7722661,-0.7135758
1.2,0.5616289,0,1.699417,-0.01009266,1.116476,0.7206029,-0.5518873
1.2,0.690983,0,1.813595,-0.001559841,0.9841128,0.6323949,-0.461653
1.2,0.8263518,0,1.908618,-0.00158907,0.8151992,0.5657333,-0.2735486
1.2,0.9651005,0,1.961036,-0.00186648,0.6624071,0.5502054,-0.04490558
1.2,1.104528,0,1.945467,0.003542851,0.7037948,0.5335473,0.1655651
1.2,1.241922,0,1.870716,-6.792241e-05,0.8941764,0.6091921,0.3415146
1.2,1.374607,0,1.762706,0.004623305,1.055774,0.6687195,0.5039657
1.2,1.5,0,1.640263,0.01039114,1.227185,0.7666811,0.6711623
1.2,1.615661,0,1.510953,0.005960195,1.326086,0.8086572,0.8044378
1.2,1.71934,0,1.358279,0.008688174,1.403031,0.8593651,0.8767085
1.2,1.809017,0,1.186531,-0.007643846,1.48966,0.8698526,0.9256056
1.2,1.882948,0,0.9477011,-0.02392256,1.555731,0.896162,1.009411
1.2,1.939693,0,0.5074518,-0.02784033,1.638033,0.8035424,1.242798
1.2,1.978148,0,-0.001301048,0.0039618,0.4292611,0.243894,0.06119984
1.2,1.997564,0,-0.0001552811,2.463672e-05,0.06279361,0.01028112,-1.166669e-05
1.3,0,0,2.608078e-15,1.954036e-19,2.138655e-13,7.715849e-16,-9.208957e-30
1.3,0.009731931,0,-4.582979e-05,0.000330395,0.1017237,0.04351842,-0.00196089
1.3,0.0387383,0,0.2315815,0.022102,1.717127,0.5610901,-0.8956617
1.3,0.08645454,0,0.7479562,0.01877282,1.532039,0.8882995,-1.074225
1.3,0.1519519,0,1.060023,-0.001146837,1.559658,0.8692237,-1.083771
1.3,0.2339556,0,1.269346,-0.002638894,1.506227,0.867824,-0.9543069
1.3,0.3308694,0,1.432036,-0.0102835,1.411571,0.8562897,-0.9247141
1.3,0.4408071,0,1.570692,-0.01227386,1.267789,0.7984608,-0.7291828
1.3,0.5616289,0,1.701959,-0.009314472,1.164021,0.7366839,-0.61127
1.3,0.690983,0,1.818403,-0.0002160884,0.9766832,0.6530132,-0.4546501
1.3,0.8263518,0,1.912094,-0.0003990544,0.8066319,0.568484,-0.2745893
1.3,0.9651005,0,1.96258,-0.0007802261,0.659951,0.5039565,-0.05170391
1.3,1.104528,0,1.945505,-0.0005286427,0.707286,0.5311134,0.1300486
1.3,1.241922,0,1.873255,0.001287876,0.8854588,0.6126642,0.3853319
1.3,1.374607,0,1.76537,0.004573036,1.053433,0.7000402,0.5105248
1.3,1.5,0,1.64559,0.01095144,1.195138,0.7471752,0.633718
1.3,1.615661,0,1.514471,0.01415055,1.333445,0.859886,0.9177179
1.3,1.71934,0,1.364196,0.006347391,1.431451,0.8372376,0.9035432
